# Busqueda lineal. Tiempos en microsegundos
# Talla    Mejor     Peor    Promedio
#------------------------------------
  100000   0.06      45.48      20.62
  200000   0.04      72.03      29.37
  300000   0.04      96.66      41.40
  400000   0.05     136.76      64.37
  500000   0.04     166.37      72.36
  600000   0.05     195.54      97.92
  700000   0.05     274.67     111.66
  800000   0.07     330.61     130.79
  900000   0.06     350.33     164.78
 1000000   0.06     376.22     180.64
